epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,9.054425239562988,,
0,,1,,0.7534731030464172,,
0,,2,,0.5716826319694519,,
0,,3,,0.44226741790771484,,
,,0,,,,0.6229583024978638
,,1,,,,0.6229583024978638
0,,3,,,0.6229583024978638,
0,9.931988716125488,3,2.7054622173309326,,,
1,,4,,0.6229583024978638,,
1,,5,,2.0966174602508545,,
1,,6,,4.5161452293396,,
1,,7,,5.244365692138672,,
,,2,,,,4.857239723205566
,,3,,,,4.857239723205566
1,,7,,,4.857239723205566,
1,13.713665962219238,7,3.1200218200683594,,,
2,,8,,4.857239723205566,,
2,,9,,11.643553733825684,,
2,,10,,16.475351333618164,,
2,,11,,32.90463638305664,,
,,4,,,,56.96014404296875
,,5,,,,56.96014404296875
2,,11,,,56.96014404296875,
2,16.82743263244629,11,16.470195770263672,,,
3,,12,,56.96014404296875,,
3,,13,,143.71224975585938,,
3,,14,,138.66827392578125,,
3,,15,,517.638427734375,,
,,6,,,,1405.646484375
,,7,,,,1405.646484375
3,,15,,,1405.646484375,
3,19.60441780090332,15,214.24478149414062,,,
4,,16,,1405.646484375,,
4,,17,,3685.95703125,,
4,,18,,10962.6826171875,,
4,,19,,17578.638671875,,
,,8,,,,141930.578125
,,9,,,,141930.578125
4,,19,,,141930.578125,
4,22.169166564941406,19,8408.2314453125,,,
