epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,1.0903005599975586,,
0,,1,,32.14601516723633,,
0,,2,,1.9291644096374512,,
0,,3,,0.9346432089805603,,
,,0,,,,0.8541988134384155
,,1,,,,0.8541988134384155
0,,3,,,0.8541988134384155,
0,9.931988716125488,3,9.025031089782715,,,
1,,4,,0.8541988134384155,,
1,,5,,2.049549102783203,,
1,,6,,3.070919990539551,,
1,,7,,4.051723003387451,,
,,2,,,,4.075973987579346
,,3,,,,4.075973987579346
1,,7,,,4.075973987579346,
1,13.713665962219238,7,2.5065977573394775,,,
2,,8,,4.075973987579346,,
2,,9,,5.982581615447998,,
2,,10,,19.7269344329834,,
2,,11,,34.27381134033203,,
,,4,,,,96.54190063476562
,,5,,,,96.54190063476562
2,,11,,,96.54190063476562,
2,16.82743263244629,11,16.01482582092285,,,
