epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,4.120395660400391,,
0,,1,,1.8291361331939697,,
0,,2,,1.892258644104004,,
0,,3,,1.7482635974884033,,
,,0,,,,1.8953866958618164
,,1,,,,1.8953866958618164
0,,3,,,1.8953866958618164,
0,1.4426381587982178,3,2.3975133895874023,,,
1,,4,,1.8953866958618164,,
1,,5,,1.8748012781143188,,
1,,6,,2.103095769882202,,
1,,7,,2.271928310394287,,
,,2,,,,2.0196707248687744
,,3,,,,2.0196707248687744
1,,7,,,2.0196707248687744,
1,1.9251008033752441,7,2.0363030433654785,,,
2,,8,,2.0196707248687744,,
2,,9,,3.5956034660339355,,
2,,10,,3.6194026470184326,,
2,,11,,3.648132801055908,,
,,4,,,,5.296031475067139
,,5,,,,5.296031475067139
2,,11,,,5.296031475067139,
2,2.3071281909942627,11,3.220702648162842,,,
3,,12,,5.296031475067139,,
3,,13,,4.721843242645264,,
3,,14,,13.668829917907715,,
3,,15,,19.179302215576172,,
,,6,,,,15.98205852508545
,,7,,,,15.98205852508545
3,,15,,,15.98205852508545,
3,2.6366970539093018,15,10.716501235961914,,,
