epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,31.241859436035156,,
0,,1,,1.3875850439071655,,
0,,2,,1.080833911895752,,
0,,3,,0.9418913722038269,,
,,0,,,,0.8141093254089355
,,1,,,,0.8141093254089355
0,,3,,,0.8141093254089355,
0,1.4426381587982178,3,8.663042068481445,,,
1,,4,,0.8141093254089355,,
1,,5,,1.4994518756866455,,
1,,6,,1.9074912071228027,,
1,,7,,3.7295572757720947,,
,,2,,,,5.736583709716797
,,3,,,,5.736583709716797
1,,7,,,5.736583709716797,
1,1.9251008033752441,7,1.98765230178833,,,
2,,8,,5.736583709716797,,
2,,9,,5.484452247619629,,
2,,10,,7.147684097290039,,
2,,11,,24.083614349365234,,
,,4,,,,38.304954528808594
,,5,,,,38.304954528808594
2,,11,,,38.304954528808594,
2,2.3071281909942627,11,10.613083839416504,,,
3,,12,,38.304954528808594,,
3,,13,,81.44036865234375,,
3,,14,,213.462890625,,
3,,15,,212.88369750976562,,
,,6,,,,334.1872863769531
,,7,,,,334.1872863769531
3,,15,,,334.1872863769531,
3,2.6366970539093018,15,136.52297973632812,,,
