epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,0.6261609792709351,,
0,,1,,1.2923561334609985,,
0,,2,,0.2514684200286865,,
0,,3,,0.3790615200996399,,
,,0,,,,0.6324329376220703
,,1,,,,0.6324329376220703
0,,3,,,0.6324329376220703,
0,9.931988716125488,3,0.6372617483139038,,,
1,,4,,0.6324329376220703,,
1,,5,,1.05522882938385,,
1,,6,,2.0028340816497803,,
1,,7,,3.135997772216797,,
,,2,,,,2.441504955291748
,,3,,,,2.441504955291748
1,,7,,,2.441504955291748,
1,13.713665962219238,7,1.7066234350204468,,,
2,,8,,2.441504955291748,,
2,,9,,8.573359489440918,,
2,,10,,32.86253356933594,,
2,,11,,87.15315246582031,,
,,4,,,,466.3388671875
,,5,,,,466.3388671875
2,,11,,,466.3388671875,
2,16.82743263244629,11,32.75763702392578,,,
